Name:Description:Cost:Hull:Armor:Shields:Launch Fuel Cost:Pilot:Electronics:Gunnery:AP:Agile:Speed:Repair Cost:Chance to hit Ship:Chance to hit Craft:Dodge
Falcon XP-7:Interdictor (Class 1):24000:480:10:8:3:3:1:3:3:16:24:45:48:68:16
Hawker LR:Bomber (Class 1):32000:380:6:12:4:2:3:0:3:10:18:80:56:0:10
Hornet Assault:Shuttle (Class 1):40000:360:10:10:3:2:2:0:3:18:14:100:56:0:16
Blackburn IX:Interdictor (Class 2):32000:490:11:9:3:4:2:4:3:18:24:60:52:74:20
Mirage Heavy:Bomber (Class 2):40000:385:8:14:4:5:4:0:3:8:19:95:58:0:18
Hullcutter:Shuttle (Class 2):45000:365:12:12:3:4:4:0:3:18:16:110:56:0:20
Edgelight:Interdictor (Class 3):38000:500:14:10:3:8:4:6:3:16:26:65:52:78:22
Westfield B-1:Bomber (Class 3):44000:390:9:15:4:7:6:0:3:10:20:100:60:0:20
Helldiver Mk3:Shuttle (Class 3):50000:370:14:14:3:6:4:0:3:20:15:100:62:0:20
Weyland Falcon:Interdictor (Class 4):70000:510:15:11:4:9:4:8:3:15:25:120:58:82:22
Emperiat X:Bomber (Class 4):62000:395:11:17:5:8:8:0:3:8:21:150:62:0:20
Blackhall Heavy:Shuttle (Class 4):76000:375:16:16:4:7:5:0:3:22:16:190:64:0:20
Noxburn MX9:Interdictor (Class 5):90000:520:16:12:4:10:6:10:3:17:27:160:66:86:24
Seafang Heavy:Bomber (Class 5):76000:400:12:18:5:10:12:0:3:12:20:180:66:0:22
Helldiver Mk5:Shuttle (Class 5):82000:380:18:16:4:8:6:0:3:24:15:200:68:0:22
Faulker D5:Interdictor (Class 6):90000:520:20:14:5:12:6:10:3:18:27:160:70:86:26
Red Lion Mk2:Bomber (Class 6):76000:400:14:20:6:10:14:0:3:13:21:180:70:0:22
Whiteknife Ultra:Shuttle (Class 6):82000:380:20:18:5:12:8:0:3:26:15:200:72:0:22
