Ship:Current Mass:Max Mass:Price:Total Slots:Large:Mid:Small:Hull:Armour:Shield:Max Officers:Max Crew:Cargo:Engine:Speed:Agility:Fuel Cost:Fuel Tank:Fuel Range:Jump Cost:Pilot:Navigation:Ship Ops:Electronics:Gunnery:Tier
Juror Class:3045:3400:160000:15:2:3:10:1100:10:10:4:24:25:M3400 Void Engine Balanced:24:0:2:95:47:21:13:17:21:14:15:0
Paladin Cruiser:4890:5000:260000:19:4:5:10:1500:8:7:5:30:50:M5000 Void Engine Balanced:19:0:2:195:97:24:14:17:28:18:20:0
Fidelis Cutter:5835:6000:375000:23:4:7:12:2000:9:9:5:30:50:M6000 Void Engine Balanced:15:0:3:140:46:33:24:28:32:34:17:0
Scout Cutter:2370:2400:190000:16:2:3:11:900:12:12:4:24:35:M2400 Void Engine Balanced:27:0:2:110:55:18:16:13:22:12:15:0
Cautela Heavylift:6920:7000:575000:24:4:8:12:2500:5:4:6:36:35:M7000 Void Engine Balanced:12:0:4:170:42:37:20:23:29:27:29:0
Dragoon Cruiser:6570:7000:580000:23:4:7:12:2350:5:4:6:36:35:M7000 Void Engine Balanced:12:0:4:180:45:31:20:23:31:25:33:0
Frontier Liner:4560:5000:260000:18:3:5:10:1400:7:8:5:30:50:M5000 Void Engine Balanced:19:0:2:175:87:22:14:17:26:17:25:0
Guardian Interceptor:5870:6000:375000:23:4:7:12:1950:6:6:5:30:50:M6000 Void Engine Balanced:15:0:3:140:46:30:24:28:36:31:24:0
Broadsword Class:7670:8000:850000:29:7:9:13:2600:5:3:7:42:60:M8000 Void Engine Balanced:9:0:4:235:58:50:23:26:47:37:33:0
Galtak Freighter:4820:5000:260000:19:4:3:12:1600:8:5:5:30:75:M5000 Void Engine Balanced:19:0:2:150:75:23:14:21:27:16:20:0
Lightbow Raptor:3320:3400:230000:16:2:5:9:1200:14:11:4:24:25:M3400 Void Engine Balanced:24:0:2:65:32:26:13:17:21:15:16:0
Longbow Cruiser:4970:5000:350000:21:4:6:11:1500:9:8:5:30:50:M5000 Void Engine Balanced:19:0:2:145:72:33:14:17:31:16:25:0
